C,classifier_name,classifier_params,feature_range,fill_value,fit_time,fold,imputer_name,imputer_params,penalty,predict_time,roc_auc,scaler_name,scaler_params,strategy,criterion,n_estimators
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(0, 1)",-1.0,0.07046389579772949,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.012489080429077148,0.7827401606027561,MinMaxScaler,"feature_range=(0, 1)",constant,entropy,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(0, 1)",-1.0,0.10199809074401855,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.015107154846191406,0.7239516208981858,MinMaxScaler,"feature_range=(0, 1)",constant,entropy,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(0, 1)",-1.0,0.07553696632385254,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.013810157775878906,0.7872127872127871,MinMaxScaler,"feature_range=(0, 1)",constant,entropy,30.0
0.01,LogisticRegression,"penalty=l1, C=0.01","(2, 3)",-1.0,0.016427040100097656,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.00952911376953125,0.5015366313076237,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l1, C=0.01","(2, 3)",-1.0,0.015472888946533203,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.009238004684448242,0.5,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l1, C=0.01","(2, 3)",-1.0,0.015312910079956055,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.010745048522949219,0.5079420579420578,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(2, 3)",-1.0,0.04857897758483887,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.015546083450317383,0.7846237731733915,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(2, 3)",-1.0,0.061734914779663086,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.011920690536499023,0.7372856151482104,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l1, C=5","(2, 3)",-1.0,0.03247475624084473,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l1,0.010726213455200195,0.7787712287712287,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(2, 3)",-1.0,0.01768207550048828,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.009241819381713867,0.7598393972439774,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(2, 3)",-1.0,0.015459060668945312,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.009016752243041992,0.7182016456825617,MinMaxScaler,"feature_range=(2, 3)",constant,,
0.01,LogisticRegression,"penalty=l2, C=0.01","(2, 3)",-1.0,0.014965057373046875,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.00913381576538086,0.6084915084915085,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(2, 3)",-1.0,0.01598215103149414,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.009155988693237305,0.7808069792802617,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(2, 3)",-1.0,0.016054153442382812,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.009229183197021484,0.7411024090413403,MinMaxScaler,"feature_range=(2, 3)",constant,,
5.0,LogisticRegression,"penalty=l2, C=5","(2, 3)",-1.0,0.0171511173248291,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",l2,0.010272026062011719,0.7787712287712287,MinMaxScaler,"feature_range=(2, 3)",constant,,
,RandomForestClassifier,"n_estimators=10, criterion=gini","(2, 3)",-1.0,0.030342817306518555,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.010616064071655273,0.8002874987607812,MinMaxScaler,"feature_range=(2, 3)",constant,gini,10.0
,RandomForestClassifier,"n_estimators=10, criterion=gini","(2, 3)",-1.0,0.03815174102783203,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.01885700225830078,0.7178050956676911,MinMaxScaler,"feature_range=(2, 3)",constant,gini,10.0
,RandomForestClassifier,"n_estimators=10, criterion=gini","(2, 3)",-1.0,0.04429006576538086,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.015954971313476562,0.7727772227772227,MinMaxScaler,"feature_range=(2, 3)",constant,gini,10.0
,RandomForestClassifier,"n_estimators=10, criterion=entropy","(2, 3)",-1.0,0.05078387260437012,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.01761007308959961,0.7422920590859522,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,10.0
,RandomForestClassifier,"n_estimators=10, criterion=entropy","(2, 3)",-1.0,0.04350900650024414,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.01795673370361328,0.6510359869138496,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,10.0
,RandomForestClassifier,"n_estimators=10, criterion=entropy","(2, 3)",-1.0,0.052484750747680664,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.017969131469726562,0.7150849150849151,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,10.0
,RandomForestClassifier,"n_estimators=30, criterion=gini","(2, 3)",-1.0,0.06529903411865234,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.012595891952514648,0.7892336670962625,MinMaxScaler,"feature_range=(2, 3)",constant,gini,30.0
,RandomForestClassifier,"n_estimators=30, criterion=gini","(2, 3)",-1.0,0.05993771553039551,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.012430191040039062,0.7159214830970557,MinMaxScaler,"feature_range=(2, 3)",constant,gini,30.0
,RandomForestClassifier,"n_estimators=30, criterion=gini","(2, 3)",-1.0,0.0654897689819336,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.012455940246582031,0.691058941058941,MinMaxScaler,"feature_range=(2, 3)",constant,gini,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(2, 3)",-1.0,0.0639181137084961,0.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.012598037719726562,0.7586993159512244,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(2, 3)",-1.0,0.06399011611938477,1.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.012403249740600586,0.7403588777634579,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,30.0
,RandomForestClassifier,"n_estimators=30, criterion=entropy","(2, 3)",-1.0,0.0711979866027832,2.0,ModifiedSimpleImputer,"fill_value=-1, strategy=constant",,0.014133930206298828,0.7648351648351649,MinMaxScaler,"feature_range=(2, 3)",constant,entropy,30.0
